Course,Green,Tee,CR,SR,Yards
西-南,ベント,フルバック,78.5,140,6652
西-南,ベント,バック,75.8,133,6171
西-南,ベント,フロント,74.0,128,5859
西-南,ベント,ゴールド,72.2,125,5543
西-南,ベント,レディース,70.9,123,5347
西-南,ベント,レディース2,68.9,121,4976
南-東,ベント,フルバック,78.4,139,6529
南-東,ベント,バック,75.2,132,6008
南-東,ベント,フロント,73.7,129,5744
南-東,ベント,ゴールド,72.3,126,5485
南-東,ベント,レディース,70.4,122,5140
南-東,ベント,レディース2,68.8,119,4853
東-西,ベント,フルバック,77.7,138,6431
東-西,ベント,バック,75.6,132,6097
東-西,ベント,フロント,74.1,128,5837
東-西,ベント,ゴールド,72.5,126,5568
東-西,ベント,レディース,70.9,123,5297
東-西,ベント,レディース2,68.5,119,4859
