Course,Green,Tee,CR,SR,Yards
梅郷アウト-梅郷イン,ベント・A,チャンピオン1,81.6,143,7195
梅郷アウト-梅郷イン,ベント・A,チャンピオン2,81.0,142,7083
梅郷アウト-梅郷イン,ベント・A,バック,79.1,137,6742
梅郷アウト-梅郷イン,ベント・A,レギュラー,77.0,133,6374
梅郷アウト-梅郷イン,ベント・A,フロント,74.8,129,6007
梅郷アウト-梅郷イン,ベント・A,レディース,73.2,127,5828
野田アウト-野田イン,ベント・A,チャンピオン1,80.5,136,7058
野田アウト-野田イン,ベント・A,バック,79.2,135,6800
野田アウト-野田イン,ベント・A,レギュラー,76.8,130,6458
野田アウト-野田イン,ベント・A,フロント,75.8,129,6219
野田アウト-野田イン,ベント・A,レディース,73.0,122,5785
川間(東)-川間(南),ベント・A,バック,78.5,143,7031
川間(東)-川間(南),ベント・A,レギュラー,76.4,137,6622
川間(東)-川間(南),ベント・A,フロント,74.2,131,6218
川間(東)-川間(南),ベント・A,フロント2,72.6,127,5901
川間(東)-川間(南),ベント・A,レディース,71.0,123,5603
川間(南)-川間(西),ベント・A,バック,78.3,142,6973
川間(南)-川間(西),ベント・A,レギュラー,75.9,136,6528
川間(南)-川間(西),ベント・A,フロント,74.1,131,6172
川間(南)-川間(西),ベント・A,フロント2,72.6,127,5895
川間(南)-川間(西),ベント・A,レディース,70.8,123,5545
川間(西)-川間(東),ベント・A,バック,78.0,141,6972
川間(西)-川間(東),ベント・A,レギュラー,76.0,136,6590
川間(西)-川間(東),ベント・A,フロント,73.8,131,6180
川間(西)-川間(東),ベント・A,フロント2,71.8,125,5806
川間(西)-川間(東),ベント・A,レディース,70.7,122,5586
