Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,バック,78.2,142,6867
アウト-イン,ベント,レギュラー,75.7,135,6410
アウト-イン,ベント,フロント,73.7,130,6015
アウト-イン,ベント,レディス,69.9,120,5249
