Course,Green,Tee,CR,SR,Yards
日光-富士,Lグリーン,バック,71.4,129,6640
日光-富士,Lグリーン,レギュラー,69.6,124,6259
日光-富士,Lグリーン,フロント1,68.6,121,5971
日光-富士,Lグリーン,フロント2,66.0,113,5250
日光-富士,Rグリーン,バック,71.4,129,6659
日光-富士,Rグリーン,レギュラー,69.7,124,6278
日光-富士,Rグリーン,フロント1,68.7,121,5990
日光-富士,Rグリーン,フロント2,66.1,114,5269
富士-筑波,Rグリーン,バック,70.7,127,6571
富士-筑波,Rグリーン,レギュラー,69.2,123,6201
富士-筑波,Rグリーン,フロント1,68.5,121,6034
富士-筑波,Rグリーン,フロント2,66.2,114,5395
富士-筑波,Lグリーン,バック,70.4,126,6524
富士-筑波,Lグリーン,レギュラー,69.0,122,6154
富士-筑波,Lグリーン,フロント1,68.4,120,5987
富士-筑波,Lグリーン,フロント2,66.1,114,5348
筑波-日光,Rグリーン,バック,70.5,126,6524
筑波-日光,Rグリーン,レギュラー,69.1,122,6165
筑波-日光,Rグリーン,フロント1,68.4,120,5984
筑波-日光,Rグリーン,フロント2,66.5,115,5486
筑波-日光,Lグリーン,バック,70.2,125,6462
筑波-日光,Lグリーン,レギュラー,68.9,122,6103
筑波-日光,Lグリーン,フロント1,68.1,119,5922
筑波-日光,Lグリーン,フロント2,66.3,114,5424
