Course,Green,Tee,CR,SR,Yards
中-東,ベント,チャンピオン,74.8,137,7077
中-東,ベント,レギュラー1,72.9,131,6687
中-東,ベント,レギュラー2,71.1,130,6288
中-東,ベント,ゴールド,69.5,130,5989
中-東,ベント,プラチナ,67.3,124,5560
中-東,ベント,ピンク,66.0,120,5284
西-中,ベント,チャンピオン,73.6,138,6855
西-中,ベント,レギュラー1,71.6,132,6453
西-中,ベント,レギュラー2,70.4,132,6204
西-中,ベント,ゴールド,68.9,131,5896
西-中,ベント,プラチナ,66.4,123,5401
西-中,ベント,ピンク,64.5,119,4980
東-西,ベント,チャンピオン,73.2,137,6792
東-西,ベント,レギュラー1,71.5,131,6466
東-西,ベント,レギュラー2,70.1,130,6116
東-西,ベント,ゴールド,68.6,129,5811
東-西,ベント,プラチナ,66.5,124,5435
東-西,ベント,ピンク,64.5,117,5012
