Course,Green,Tee,CR,SR,Yards
中-西,ベント左|ベント,チャンピオン,77.4,140,6754
中-西,ベント左|ベント,バック,75.8,136,6439
中-西,ベント左|ベント,レギュラー,74.2,131,6131
中-西,ベント左|ベント,レディース,69.8,120,5411
中-西,ベント右|ベント,チャンピオン,77.2,139,6686
中-西,ベント右|ベント,バック,75.6,135,6372
中-西,ベント右|ベント,レギュラー,74.1,131,6089
中-西,ベント右|ベント,レディース,69.2,118,5370
東-中,ベント右,チャンピオン,77.4,140,6762
東-中,ベント右,バック,75.5,135,6397
東-中,ベント右,レギュラー,74.3,132,6175
東-中,ベント右,レディース,70.3,121,5426
東-中,ベント左,チャンピオン,77.2,139,6726
東-中,ベント左,バック,75.3,134,6371
東-中,ベント左,レギュラー,74.0,131,6131
東-中,ベント左,レディース,70.2,121,5405
西-東,ベント|ベント右,チャンピオン,76.8,138,6686
西-東,ベント|ベント右,バック,75.3,134,6373
西-東,ベント|ベント右,レギュラー,73.8,131,6090
西-東,ベント|ベント右,レディース,70.3,121,5456
西-東,ベント|ベント左,チャンピオン,76.4,137,6582
西-東,ベント|ベント左,バック,74.9,133,6280
西-東,ベント|ベント左,レギュラー,73.4,129,6004
西-東,ベント|ベント左,レディース,69.6,119,5394
