Course,Green,Tee,CR,SR,Yards
アウト-イン,高麗,バック,72.8,132,5544
アウト-イン,高麗,レギュラー,71.3,129,5261
アウト-イン,高麗,ゴールド,70.0,126,5044
アウト-イン,高麗,レディス,68.8,123,4808
