Course,Green,Tee,CR,SR,Yards
東アウト-東イン,Aグリーン,バック,79.1,139,6831
東アウト-東イン,Aグリーン,レギュラー,77.1,135,6458
東アウト-東イン,Aグリーン,フロント1,74.7,129,6011
東アウト-東イン,Aグリーン,フロント2,71.1,122,5358
東アウト-東イン,Bグリーン,バック,77.3,137,6551
東アウト-東イン,Bグリーン,レギュラー,75.3,132,6178
東アウト-東イン,Bグリーン,フロント1,72.9,127,5731
東アウト-東イン,Bグリーン,フロント2,69.4,120,5078
西アウト-西イン,Aグリーン,バック,77.8,141,6828
西アウト-西イン,Aグリーン,レギュラー,75.6,135,6416
西アウト-西イン,Aグリーン,フロント1,73.8,130,6080
西アウト-西イン,Aグリーン,フロント2,70.2,121,5391
西アウト-西イン,Bグリーン,バック,76.6,138,6583
西アウト-西イン,Bグリーン,レギュラー,74.4,132,6171
西アウト-西イン,Bグリーン,フロント1,72.6,127,5835
西アウト-西イン,Bグリーン,フロント2,69.2,118,5147
