Course,Green,Tee,CR,SR,Yards
南-西,Aグリーン,バック,72.1,131,6662
南-西,Aグリーン,レギュラー,70.4,128,6312
南-西,Aグリーン,フロント1,67.9,124,5786
南-西,Aグリーン,フロント2,65.9,120,5368
南-西,Bグリーン,バック,71.6,131,6597
南-西,Bグリーン,レギュラー,69.9,129,6247
南-西,Bグリーン,フロント1,67.3,125,5721
南-西,Bグリーン,フロント2,65.3,120,5303
東-南,Aグリーン,バック,72.0,131,6676
東-南,Aグリーン,レギュラー,70.2,129,6334
東-南,Aグリーン,フロント1,68.0,125,5897
東-南,Aグリーン,フロント2,65.8,120,5408
東-南,Bグリーン,バック,71.3,131,6553
東-南,Bグリーン,レギュラー,69.5,129,6200
東-南,Bグリーン,フロント1,67.3,125,5763
東-南,Bグリーン,フロント2,65.0,120,5274
西-東,Aグリーン,バック,71.7,131,6574
西-東,Aグリーン,レギュラー,70.2,130,6290
西-東,Aグリーン,フロント1,67.9,125,5807
西-東,Aグリーン,フロント2,66.5,121,5486
西-東,Bグリーン,バック,70.5,132,6386
西-東,Bグリーン,レギュラー,69.0,130,6091
西-東,Bグリーン,フロント1,66.6,126,5608
西-東,Bグリーン,フロント2,65.1,122,5287
