Course,Green,Tee,CR,SR,Yards
西・アウト-西・イン,ベント,バック,73.4,135,7076
西・アウト-西・イン,ベント,レギュラー,70.9,128,6555
西・アウト-西・イン,ベント,フロント1,69.2,123,6141
東・南郷-東・石山,コーライ,バック,71.9,130,6742
東・南郷-東・石山,コーライ,レギュラー,69.7,124,6250
東・南郷-東・石山,コーライ,フロント1,68.3,120,5893
東・南郷-東・石山,コーライ,フロント2,66.1,114,5302
東・天ヶ瀬-東・石山,コーライ,バック,71.8,130,6721
東・天ヶ瀬-東・石山,コーライ,レギュラー,70.1,125,6338
東・天ヶ瀬-東・石山,コーライ,フロント1,68.4,120,5939
東・天ヶ瀬-東・石山,コーライ,フロント2,65.7,112,5198
東・南郷-東・天ヶ瀬,コーライ,バック,71.7,130,6707
東・南郷-東・天ヶ瀬,コーライ,レギュラー,69.6,124,6230
東・南郷-東・天ヶ瀬,コーライ,フロント1,68.3,120,5896
東・南郷-東・天ヶ瀬,コーライ,フロント2,66.0,113,5282
