Course,Green,Tee,CR,SR,Yards
十和田湖-南八甲田,メイン,バック,80.5,142,6998
十和田湖-南八甲田,メイン,レギュラー,77.3,133,6429
十和田湖-南八甲田,メイン,フロント,74.9,124,6162
十和田湖-南八甲田,メイン,シニア,71.5,120,5563
十和田湖-南八甲田,メイン,レディース,70.5,117,5397
奥入瀬-十和田湖,メイン,バック,80.4,145,7024
奥入瀬-十和田湖,メイン,レギュラー,77.6,137,6479
奥入瀬-十和田湖,メイン,フロント,75.1,130,6083
奥入瀬-十和田湖,メイン,シニア,72.1,125,5518
奥入瀬-十和田湖,メイン,レディース,71.5,121,5402
南八甲田-奥入瀬,メイン,バック,80.3,144,6996
南八甲田-奥入瀬,メイン,レギュラー,76.9,137,6418
南八甲田-奥入瀬,メイン,フロント,74.8,126,6161
南八甲田-奥入瀬,メイン,シニア,72.0,121,5619
南八甲田-奥入瀬,メイン,レディース,71.6,119,5529
