Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,バック,78.3,142,6825
アウト-イン,ベント,レギュラー,76.0,136,6380
アウト-イン,ベント,フロント,74.9,133,6100
アウト-イン,ベント,ゴールド,73.9,131,5910
アウト-イン,ベント,レディース,70.8,123,5360
