Course,Green,Tee,CR,SR,Yards
兼六-湯涌,ベント(メイン),バック,73.6,142,6908
兼六-湯涌,ベント(メイン),レギュラー,70.6,136,6250
兼六-湯涌,ベント(メイン),レディース,66.8,128,5424
兼六-湯涌,ベント(サブ),バック,72.0,133,6590
兼六-湯涌,ベント(サブ),レギュラー,69.1,126,5930
兼六-湯涌,ベント(サブ),レディース,65.3,119,5106
戸室-兼六,ベント(メイン),バック,72.0,136,6576
戸室-兼六,ベント(メイン),レギュラー,69.3,131,5974
戸室-兼六,ベント(メイン),レディース,66.0,124,5258
戸室-兼六,ベント(サブ),バック,71.6,130,6424
戸室-兼六,ベント(サブ),レギュラー,68.9,125,5819
戸室-兼六,ベント(サブ),レディース,65.7,118,5104
湯涌-戸室,ベント(メイン),バック,71.8,132,6528
湯涌-戸室,ベント(メイン),レギュラー,69.3,127,5990
湯涌-戸室,ベント(メイン),レディース,66.0,120,5248
湯涌-戸室,ベント(サブ),バック,70.8,128,6306
湯涌-戸室,ベント(サブ),レギュラー,68.4,123,5769
湯涌-戸室,ベント(サブ),レディース,65.0,116,5030
