Course,Green,Tee,CR,SR,Yards
百合-藤,Aグリーン,バック,78.7,140,6633
百合-藤,Aグリーン,レギュラー,75.9,137,6140
百合-藤,Aグリーン,フロント1,72.4,131,5502
百合-藤,Aグリーン,フロント2,71.5,128,5324
百合-藤,Bグリーン,バック,77.3,139,6431
百合-藤,Bグリーン,レギュラー,74.5,135,5951
百合-藤,Bグリーン,フロント1,71.0,128,5297
百合-藤,Bグリーン,フロント2,70.2,125,5119
桜-百合,Aグリーン,バック,78.6,140,6712
桜-百合,Aグリーン,レギュラー,75.8,136,6235
桜-百合,Aグリーン,フロント1,72.1,130,5577
桜-百合,Aグリーン,フロント2,69.7,124,5121
桜-百合,Bグリーン,バック,77.4,138,6543
桜-百合,Bグリーン,レギュラー,74.6,134,6065
桜-百合,Bグリーン,フロント1,71.5,128,5399
桜-百合,Bグリーン,フロント2,68.4,122,4942
藤-桜,Aグリーン,バック,78.3,137,6597
藤-桜,Aグリーン,レギュラー,75.9,133,6175
藤-桜,Aグリーン,フロント1,73.3,130,5713
藤-桜,Aグリーン,フロント2,71.8,126,5435
藤-桜,Bグリーン,バック,77.3,136,6436
藤-桜,Bグリーン,レギュラー,74.9,132,6024
藤-桜,Bグリーン,フロント1,72.9,129,5546
藤-桜,Bグリーン,フロント2,70.8,124,5267
