Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント(メイン),バック,72.6,131,6807
アウト-イン,ベント(メイン),コンペティション,71.7,130,6584
アウト-イン,ベント(メイン),レギュラー,70.1,124,6245
アウト-イン,ベント(メイン),ゴールド,66.0,113,5385
アウト-イン,ベント(サブ),バック,71.2,126,6511
アウト-イン,ベント(サブ),コンペティション,70.3,123,6288
アウト-イン,ベント(サブ),レギュラー,68.6,120,5949
アウト-イン,ベント(サブ),ゴールド,64.6,110,5089
