Course,Green,Tee,CR,SR,Yards
桧-松,ベント(B1),バック,72.1,131,6710
桧-松,ベント(B1),レギュラー,70.3,126,6350
桧-松,ベント(B1),フロント1,67.8,118,5702
桧-松,ベント(B2),バック,71.0,128,6488
桧-松,ベント(B2),レギュラー,69.4,123,6128
桧-松,ベント(B2),フロント1,66.7,115,5491
杉-桧,ベント(B1),バック,70.8,128,6405
杉-桧,ベント(B1),レギュラー,69.2,123,6020
杉-桧,ベント(B1),フロント1,67.6,118,5572
杉-桧,ベント(B2),バック,69.7,124,6196
杉-桧,ベント(B2),レギュラー,68.2,119,5806
杉-桧,ベント(B2),フロント1,66.4,114,5355
松-杉,ベント(B1),バック,70.8,128,6303
松-杉,ベント(B1),レギュラー,69.3,123,5984
松-杉,ベント(B1),フロント1,67.0,116,5342
松-杉,ベント(B2),バック,69.9,125,6156
松-杉,ベント(B2),レギュラー,68.7,121,5840
松-杉,ベント(B2),フロント1,66.2,114,5210
