Course,Green,Tee,CR,SR,Yards
アウト-イン,メインベント,バック,72.0,131,6610
アウト-イン,メインベント,レギュラー,70.7,127,6276
アウト-イン,メインベント,フロント1,69.6,125,6073
アウト-イン,メインベント,フロント2,69.3,125,5988
アウト-イン,メインベント,フロント3,69.2,124,5967
アウト-イン,メインベント,レディース1,67.2,121,5567
アウト-イン,メインベント,レディース2,65.7,112,5179
アウト-イン,メインベント,ピンク,63.3,107,4630
アウト-イン,サブベント,バック,70.5,127,6265
アウト-イン,サブベント,レギュラー,68.9,125,5937
アウト-イン,サブベント,フロント1,68.2,123,5743
アウト-イン,サブベント,フロント2,67.8,122,5656
アウト-イン,サブベント,フロント3,67.7,121,5635
アウト-イン,サブベント,レディース1,65.9,114,5244
アウト-イン,サブベント,レディース2,64.4,106,4866
アウト-イン,サブベント,ピンク,62.7,101,4440
