Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント1,チャンピオン 1,74.4,136,7016
アウト-イン,ベント1,チャンピオン 2,73.7,135,6857
アウト-イン,ベント1,バック 1,73.1,131,6729
アウト-イン,ベント1,バック 2,72.0,128,6508
アウト-イン,ベント1,レギュラー 1,71.4,126,6364
アウト-イン,ベント1,レギュラー 2,70.4,124,6133
アウト-イン,ベント1,フロント 1,69.0,121,5829
アウト-イン,ベント1,フロント 2,68.4,119,5696
アウト-イン,ベント2,チャンピオン 1,73.3,131,6771
アウト-イン,ベント2,チャンピオン 2,72.3,129,6594
アウト-イン,ベント2,バック 1,71.8,128,6487
アウト-イン,ベント2,バック 2,70.8,126,6268
アウト-イン,ベント2,レギュラー 1,70.3,123,6122
アウト-イン,ベント2,レギュラー 2,69.2,122,5888
アウト-イン,ベント2,フロント 1,67.3,117,5583
アウト-イン,ベント2,フロント 2,66.6,116,5451
