Course,Green,Tee,CR,SR,Yards
さざんか-さつき,コーライ,バック,72.7,133,6909
さざんか-さつき,コーライ,レギュラー,70.3,126,6442
さざんか-さつき,コーライ,フロント1,68.8,121,6165
さざんか-さつき,ベント,バック,70.7,127,6559
さざんか-さつき,ベント,レギュラー,68.4,120,6091
さざんか-さつき,ベント,フロント1,67.0,116,5815
あしび-さざんか,コーライ,バック,72.1,131,6812
あしび-さざんか,コーライ,レギュラー,69.6,124,6301
あしび-さざんか,コーライ,フロント1,67.8,118,5973
あしび-さざんか,ベント,バック,70.0,125,6438
あしび-さざんか,ベント,レギュラー,67.5,117,5926
あしび-さざんか,ベント,フロント1,65.8,112,5600
さつき-あしび,コーライ,バック,71.4,129,6703
さつき-あしび,コーライ,レギュラー,69.3,123,6279
さつき-あしび,コーライ,フロント1,67.6,118,5962
さつき-あしび,ベント,バック,69.5,123,6325
さつき-あしび,ベント,レギュラー,67.5,117,5901
さつき-あしび,ベント,フロント1,65.8,112,5585
