Course,Green,Tee,CR,SR,Yards
西-北,右グリーン,バック,79.5,140,6958
西-北,右グリーン,レギュラー,77.8,137,6608
西-北,右グリーン,フロント1,74.9,132,6169
西-北,右グリーン,フロント2,68.9,119,5023
西-北,左グリーン,バック,79.4,139,6902
西-北,左グリーン,レギュラー,77.6,136,6549
西-北,左グリーン,フロント1,74.6,131,6110
西-北,左グリーン,フロント2,68.5,119,4954
北-東,左グリーン,バック,77.4,137,6483
北-東,左グリーン,レギュラー,76.3,136,6256
北-東,左グリーン,フロント1,73.8,131,5905
北-東,左グリーン,フロント2,68.6,121,4906
北-東,右グリーン,バック,77.2,137,6475
北-東,右グリーン,レギュラー,76.2,136,6251
北-東,右グリーン,フロント1,73.8,131,5900
北-東,右グリーン,フロント2,68.7,120,4911
東-西,左グリーン,バック,77.2,135,6441
東-西,左グリーン,レギュラー,75.7,133,6207
東-西,左グリーン,フロント1,73.0,128,5763
東-西,左グリーン,フロント2,68.3,119,4960
東-西,右グリーン,バック,76.7,135,6357
東-西,右グリーン,レギュラー,75.4,133,6123
東-西,右グリーン,フロント1,72.7,127,5679
東-西,右グリーン,フロント2,68.2,118,4876
