Course,Green,Tee,CR,SR,Yards
東-西,Aグリーン,バック,75.5,135,6500
東-西,Aグリーン,レギュラー,74.2,131,6262
東-西,Aグリーン,フロント,72.5,127,5935
東-西,Aグリーン,フロント2,71.9,126,5817
東-西,Bグリーン,バック,74.1,131,6246
東-西,Bグリーン,レギュラー,72.8,128,6008
東-西,Bグリーン,フロント,71.2,123,5690
東-西,Bグリーン,フロント2,70.5,122,5563
南-東,Aグリーン,バック,75.1,134,6417
南-東,Aグリーン,レギュラー,73.5,130,6104
南-東,Aグリーン,フロント,72.0,126,5821
南-東,Aグリーン,フロント2,71.4,124,5713
南-東,Bグリーン,バック,74.2,131,6228
南-東,Bグリーン,レギュラー,72.5,127,5915
南-東,Bグリーン,フロント,71.1,123,5641
南-東,Bグリーン,フロント2,70.5,122,5524
西-南,Aグリーン,バック,74.9,133,6339
西-南,Aグリーン,レギュラー,73.1,129,5994
西-南,Aグリーン,フロント,71.7,125,5732
西-南,Aグリーン,フロント2,71.0,123,5592
西-南,Bグリーン,バック,73.4,129,6088
西-南,Bグリーン,レギュラー,71.6,125,5743
西-南,Bグリーン,フロント,70.3,121,5481
西-南,Bグリーン,フロント2,69.6,119,5341
