Course,Green,Tee,CR,SR,Yards
仙台アウト-仙台イン,B,バック,73.2,133,6911
仙台アウト-仙台イン,B,レギュラー,71.6,127,6570
仙台アウト-仙台イン,B,フロント,70.3,123,6317
仙台アウト-仙台イン,B,レディス,68.1,119,5821
仙台アウト-仙台イン,A,バック,72.0,129,6660
仙台アウト-仙台イン,A,レギュラー,70.5,124,6319
仙台アウト-仙台イン,A,フロント,69.1,122,6066
仙台アウト-仙台イン,A,レディス,66.9,116,5570
松島アウト-松島イン,ベント,バック,72.2,130,6744
松島アウト-松島イン,ベント,レギュラー,69.9,125,6281
松島アウト-松島イン,ベント,フロント,68.3,122,6005
松島アウト-松島イン,ベント,レディス,66.5,119,5609
松島アウト-松島イン,コーライ,バック,70.7,127,6518
松島アウト-松島イン,コーライ,レギュラー,68.4,122,6055
松島アウト-松島イン,コーライ,フロント,67.1,120,5779
松島アウト-松島イン,コーライ,レディス,65.2,114,5365
大郷アウト-大郷イン,ベント,バック,69.0,124,5961
大郷アウト-大郷イン,ベント,レギュラー,66.9,120,5589
大郷アウト-大郷イン,ベント,フロント,66.1,117,5424
大郷アウト-大郷イン,ベント,レディス,64.2,110,5025
大郷アウト-大郷イン,コーライ,バック,67.4,118,5711
大郷アウト-大郷イン,コーライ,レギュラー,65.6,114,5339
大郷アウト-大郷イン,コーライ,フロント,64.8,112,5174
大郷アウト-大郷イン,コーライ,レディス,63.2,106,4775
