Course,Green,Tee,CR,SR,Yards
江畑池アウト-江畑池イン,ベント,フルバック,74.6,145,6981
江畑池アウト-江畑池イン,ベント,バック,73.9,143,6846
江畑池アウト-江畑池イン,ベント,レギュラー,72.2,139,6382
江畑池アウト-江畑池イン,ベント,フロント,70.2,136,5916
江畑池アウト-江畑池イン,ベント,レディース,67.3,131,5274
阿知須アウト-阿知須イン,メインベント,バック,73.8,136,7170
阿知須アウト-阿知須イン,メインベント,フロント,72.2,131,6795
阿知須アウト-阿知須イン,メインベント,レディース,68.8,121,5953
阿知須アウト-阿知須イン,レギュラーベント,バック,72.0,131,6815
阿知須アウト-阿知須イン,レギュラーベント,フロント,70.3,126,6440
阿知須アウト-阿知須イン,レギュラーベント,レディース,67.4,117,5598
万年池東アウト-万年池東イン,メインベント,バック,73.5,135,7087
万年池東アウト-万年池東イン,メインベント,フロント,71.0,128,6506
万年池東アウト-万年池東イン,メインベント,レディース,67.9,118,5686
万年池東アウト-万年池東イン,レギュラーベント,バック,72.1,131,6758
万年池東アウト-万年池東イン,レギュラーベント,フロント,69.4,123,6177
万年池東アウト-万年池東イン,レギュラーベント,レディース,66.5,115,5360
万年池西アウト-万年池西イン,メインベント,バック,72.5,132,6844
万年池西アウト-万年池西イン,メインベント,フロント,70.4,126,6490
万年池西アウト-万年池西イン,メインベント,レディース,68.9,122,6005
万年池西アウト-万年池西イン,レギュラーベント,バック,70.5,126,6498
万年池西アウト-万年池西イン,レギュラーベント,フロント,69.0,122,6144
万年池西アウト-万年池西イン,レギュラーベント,レディース,67.4,117,5659
