Course,Green,Tee,CR,SR,Yards
駿河-白糸,Aグリーン,バック,72.2,128,6688
駿河-白糸,Aグリーン,レギュラー,70.4,126,6360
駿河-白糸,Aグリーン,フロント,68.9,121,6044
駿河-白糸,Aグリーン,レディース,64.9,113,5184
駿河-白糸,Bグリーン,バック,71.0,126,6489
駿河-白糸,Bグリーン,レギュラー,69.2,122,6147
駿河-白糸,Bグリーン,フロント,67.7,119,5841
駿河-白糸,Bグリーン,レディース,63.8,108,4979
白糸-富士,Aグリーン,バック,71.3,127,6538
白糸-富士,Aグリーン,レギュラー,69.3,123,6118
白糸-富士,Aグリーン,フロント,67.9,118,5844
白糸-富士,Aグリーン,レディース,64.1,110,5024
白糸-富士,Bグリーン,バック,70.7,125,6432
白糸-富士,Bグリーン,レギュラー,68.5,120,5997
白糸-富士,Bグリーン,フロント,67.2,116,5725
白糸-富士,Bグリーン,レディース,63.4,107,4903
富士-駿河,Aグリーン,バック,70.7,128,6476
富士-駿河,Aグリーン,レギュラー,68.7,124,6058
富士-駿河,Aグリーン,フロント,67.4,121,5788
富士-駿河,Aグリーン,レディース,64.2,113,5102
富士-駿河,Bグリーン,バック,70.3,127,6387
富士-駿河,Bグリーン,レギュラー,68.1,124,5966
富士-駿河,Bグリーン,フロント,66.9,121,5704
富士-駿河,Bグリーン,レディース,63.8,111,5018
