Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,バック,72.6,132,6809
アウト-イン,ベント,レギュラー,70.8,128,6430
アウト-イン,ベント,フロント1,69.2,123,6062
アウト-イン,ベント,フロント2,67.2,117,5513
