Course,Green,Tee,CR,SR,Yards
アウト-イン,コーライ,トーナメント,80.0,148,6785
アウト-イン,コーライ,バック,79.6,148,6726
アウト-イン,コーライ,レギュラー1,77.1,142,6263
アウト-イン,コーライ,レギュラー3,77.1,143,6272
アウト-イン,コーライ,レギュラー2,77.0,142,6258
アウト-イン,コーライ,フロント1,75.0,138,5882
アウト-イン,コーライ,フロント2,74.6,137,5819
アウト-イン,コーライ,レディース,72.1,130,5374
アウト-イン,ベント,トーナメント,79.8,145,6709
アウト-イン,ベント,バック,79.5,144,6655
アウト-イン,ベント,レギュラー1,77.0,139,6195
アウト-イン,ベント,レギュラー3,77.0,139,6194
アウト-イン,ベント,レギュラー2,76.9,139,6179
アウト-イン,ベント,フロント1,74.8,135,5808
アウト-イン,ベント,フロント2,74.5,134,5736
アウト-イン,ベント,レディース,72.0,129,5265
