Course,Green,Tee,CR,SR,Yards
赤城-榛名,Aグリーン,バック,78.2,139,6524
赤城-榛名,Aグリーン,レギュラー,75.0,134,6002
赤城-榛名,Aグリーン,フロント,70.3,126,5219
赤城-榛名,Bグリーン,バック,76.6,136,6275
赤城-榛名,Bグリーン,レギュラー,73.4,133,5753
赤城-榛名,Bグリーン,フロント,68.8,120,4970
伊香保-赤城,Aグリーン,バック,75.8,136,6154
伊香保-赤城,Aグリーン,レギュラー,72.6,128,5627
伊香保-赤城,Aグリーン,フロント,68.8,123,4977
伊香保-赤城,Bグリーン,バック,74.0,131,5870
伊香保-赤城,Bグリーン,レギュラー,70.9,126,5343
伊香保-赤城,Bグリーン,フロント,66.8,119,4692
榛名-伊香保,Aグリーン,バック,75.2,134,6082
榛名-伊香保,Aグリーン,レギュラー,72.2,129,5595
榛名-伊香保,Aグリーン,フロント,67.9,121,4878
榛名-伊香保,Bグリーン,バック,73.4,131,5793
榛名-伊香保,Bグリーン,レギュラー,70.5,129,5306
榛名-伊香保,Bグリーン,フロント,66.0,118,4588
