Course,Green,Tee,CR,SR,Yards
OUT-IN,ライト,バック,69.5,126,6011
OUT-IN,ライト,レギュラー,68.1,122,5751
OUT-IN,ライト,フロント1,66.0,118,5338
OUT-IN,レフト,バック,69.1,125,5983
OUT-IN,レフト,レギュラー,67.8,122,5733
OUT-IN,レフト,フロント1,65.3,117,5243
IN-WEST,ライト,バック,68.4,120,5798
IN-WEST,ライト,レギュラー,66.9,116,5507
IN-WEST,ライト,フロント1,64.9,111,5096
IN-WEST,レフト,バック,68.2,120,5788
IN-WEST,レフト,レギュラー,66.9,117,5507
IN-WEST,レフト,フロント1,64.5,112,5019
WEST-OUT,ライト,バック,68.1,123,5793
WEST-OUT,ライト,レギュラー,66.8,121,5542
WEST-OUT,ライト,フロント1,65.1,118,5226
WEST-OUT,レフト,バック,67.7,122,5711
WEST-OUT,レフト,レギュラー,66.5,120,5460
WEST-OUT,レフト,フロント1,65.0,116,5144
