Course,Green,Tee,CR,SR,Yards
レッド-ホワイト,ベントA,バック,73.4,138,7085
レッド-ホワイト,ベントA,レギュラー,71.8,134,6740
レッド-ホワイト,ベントA,フロント,70.4,130,6414
レッド-ホワイト,ベントA,シニア,68.7,125,6053
レッド-ホワイト,ベントB,バック,72.5,135,6923
レッド-ホワイト,ベントB,レギュラー,70.8,132,6589
レッド-ホワイト,ベントB,フロント,69.2,128,6256
レッド-ホワイト,ベントB,シニア,67.7,124,5895
ホワイト-ブルー,ベントA,バック,73.2,137,7064
ホワイト-ブルー,ベントA,レギュラー,71.6,133,6731
ホワイト-ブルー,ベントA,フロント,70.1,129,6404
ホワイト-ブルー,ベントA,シニア,68.5,125,6051
ホワイト-ブルー,ベントB,バック,72.5,137,6926
ホワイト-ブルー,ベントB,レギュラー,70.8,132,6598
ホワイト-ブルー,ベントB,フロント,69.2,129,6265
ホワイト-ブルー,ベントB,シニア,67.7,125,5914
ブルー-レッド,ベントA,バック,72.8,137,7011
ブルー-レッド,ベントA,レギュラー,71.2,134,6677
ブルー-レッド,ベントA,フロント,69.9,130,6390
ブルー-レッド,ベントA,シニア,68.4,126,6062
ブルー-レッド,ベントB,バック,72.2,134,6895
ブルー-レッド,ベントB,レギュラー,70.6,131,6567
ブルー-レッド,ベントB,フロント,69.2,128,6279
ブルー-レッド,ベントB,シニア,67.8,124,5949
