Course,Green,Tee,CR,SR,Yards
OUT(A)-IN(AB),A(ベント)|AB(ベント),ブルー(バック,79.4,137,6678
OUT(A)-IN(AB),A(ベント)|AB(ベント),ホワイト(レギュラー),76.3,127,6157
OUT(A)-IN(AB),A(ベント)|AB(ベント),グリーン(フロント),73.2,124,5643
OUT(A)-IN(AB),A(ベント)|AB(ベント),レッド(レディース),69.0,117,4949
OUT(B)-IN(AB),B(ベント)|AB(ベント),ブルー(バック,79.4,137,6629
OUT(B)-IN(AB),B(ベント)|AB(ベント),ホワイト(レギュラー),76.3,127,6108
OUT(B)-IN(AB),B(ベント)|AB(ベント),グリーン(フロント),72.9,124,5594
OUT(B)-IN(AB),B(ベント)|AB(ベント),レッド(レディース),69.0,117,4900
