Course,Green,Tee,CR,SR,Yards
アウト-イン,ベントグリーン,バック,78.7,139,6595
アウト-イン,ベントグリーン,レギュラー,76.6,135,6231
アウト-イン,ベントグリーン,フロント1,73.8,129,5741
アウト-イン,ベントグリーン,ゴールド,69.9,123,5091
