Course,Green,Tee,CR,SR,Yards
松の木-さざんか,コーライ,バック,76.0,136,6627
松の木-さざんか,コーライ,レギュラー,74.4,132,6188
松の木-さざんか,コーライ,フロント1,72.9,128,5502
松の木-さざんか,ベント,バック,74.1,131,6242
松の木-さざんか,ベント,レギュラー,72.5,127,5835
松の木-さざんか,ベント,フロント1,71.3,124,5344
椎の木-松の木,コーライ,バック,75.5,135,6536
椎の木-松の木,コーライ,レギュラー,73.7,130,6134
椎の木-松の木,コーライ,フロント1,72.3,126,5281
椎の木-松の木,ベント,バック,74.0,131,6256
椎の木-松の木,ベント,レギュラー,72.2,126,5864
椎の木-松の木,ベント,フロント1,70.9,123,5034
さざんか-椎の木,コーライ,バック,74.9,133,6451
さざんか-椎の木,コーライ,レギュラー,73.1,129,6058
さざんか-椎の木,コーライ,フロント1,71.5,124,5171
さざんか-椎の木,ベント,バック,73.6,130,6154
さざんか-椎の木,ベント,レギュラー,71.6,125,5775
さざんか-椎の木,ベント,フロント1,70.3,121,5082
