Course,Green,Tee,CR,SR,Yards
甲斐-駿河,右グリーン,バック1,73.4,126,7100
甲斐-駿河,右グリーン,バック2,72.9,125,6980
甲斐-駿河,右グリーン,レギュラー,70.0,121,6379
甲斐-駿河,右グリーン,ゴールド,66.6,115,5682
甲斐-駿河,右グリーン,レディース,64.2,110,5183
甲斐-駿河,左グリーン,バック1,73.2,125,7054
甲斐-駿河,左グリーン,バック2,72.5,124,6938
甲斐-駿河,左グリーン,レギュラー,69.7,120,6352
甲斐-駿河,左グリーン,ゴールド,66.5,114,5640
甲斐-駿河,左グリーン,レディース,64.2,110,5190
富士-甲斐,右グリーン,バック1,72.7,127,6989
富士-甲斐,右グリーン,バック2,72.6,127,6962
富士-甲斐,右グリーン,レギュラー,69.6,122,6341
富士-甲斐,右グリーン,ゴールド,66.4,115,5641
富士-甲斐,右グリーン,レディース,63.4,109,5032
富士-甲斐,左グリーン,バック1,72.5,126,6968
富士-甲斐,左グリーン,バック2,72.3,126,6941
富士-甲斐,左グリーン,レギュラー,69.5,121,6331
富士-甲斐,左グリーン,ゴールド,66.2,114,5620
富士-甲斐,左グリーン,レディース,63.4,109,5048
駿河-富士,左グリーン,バック1,72.3,126,6912
駿河-富士,左グリーン,バック2,71.8,125,6823
駿河-富士,左グリーン,レギュラー,69.4,123,6327
駿河-富士,左グリーン,ゴールド,66.5,115,5678
駿河-富士,左グリーン,レディース,64.0,110,5180
駿河-富士,右グリーン,バック1,72.1,127,6877
駿河-富士,右グリーン,バック2,71.7,126,6784
駿河-富士,右グリーン,レギュラー,69.4,122,6300
駿河-富士,右グリーン,ゴールド,66.4,115,5651
駿河-富士,右グリーン,レディース,64.0,110,5157
