Course,Green,Tee,CR,SR,Yards
フジザクラ-ハナミズキ,ベント,チャンピオン,73.0,128,6955
フジザクラ-ハナミズキ,ベント,バック,71.1,125,6558
フジザクラ-ハナミズキ,ベント,レギュラー,68.9,121,6101
フジザクラ-ハナミズキ,ベント,フロント,68.5,119,6012
フジザクラ-ハナミズキ,ベント,レディース,65.7,111,5373
ハナミズキ-リンドウ,ベント,チャンピオン,72.7,127,7013
ハナミズキ-リンドウ,ベント,バック,70.7,123,6585
ハナミズキ-リンドウ,ベント,レギュラー,68.7,118,6159
ハナミズキ-リンドウ,ベント,フロント,68.3,116,6060
ハナミズキ-リンドウ,ベント,レディース,65.6,110,5469
リンドウ-フジザクラ,ベント,チャンピオン,72.1,131,6844
リンドウ-フジザクラ,ベント,バック,70.2,127,6445
リンドウ-フジザクラ,ベント,レギュラー,68.4,121,6040
リンドウ-フジザクラ,ベント,フロント,67.8,119,5896
リンドウ-フジザクラ,ベント,レディース,65.1,110,5298
