Course,Green,Tee,CR,SR,Yards
アウト-イン,BGベントT-1,バック,77.3,139,6788
アウト-イン,BGベントT-1,レギュラー,75.6,135,6473
アウト-イン,BGベントT-1,フロント1,74.1,131,6191
アウト-イン,BGベントT-1,フロント2,72.0,126,5789
アウト-イン,KGベントA-4,バック,76.0,136,6550
アウト-イン,KGベントA-4,レギュラー,74.3,132,6224
アウト-イン,KGベントA-4,フロント1,72.9,128,5961
アウト-イン,KGベントA-4,フロント2,70.8,123,5559
