Course,Green,Tee,CR,SR,Yards
東アウト-東イン,NEW,チャンピオン,79.7,142,6946
東アウト-東イン,NEW,バック,79.6,142,6921
東アウト-東イン,NEW,レギュラー,76.4,135,6328
東アウト-東イン,NEW,フロント1,72.4,126,5612
東アウト-東イン,OLD,チャンピオン,79.5,143,6911
東アウト-東イン,OLD,バック,79.4,143,6886
東アウト-東イン,OLD,レギュラー,76.3,136,6293
東アウト-東イン,OLD,フロント1,72.2,128,5577
西アウト-西イン,NEW,チャンピオン,79.7,136,6919
西アウト-西イン,NEW,バック,79.5,136,6893
西アウト-西イン,NEW,レギュラー,76.2,129,6268
西アウト-西イン,NEW,フロント1,71.6,120,5444
西アウト-西イン,OLD,チャンピオン,79.4,137,6897
西アウト-西イン,OLD,バック,79.2,137,6871
西アウト-西イン,OLD,レギュラー,76.0,130,6246
西アウト-西イン,OLD,フロント1,71.4,120,5422
