Course,Green,Tee,CR,SR,Yards
さざんか-さつき,コーライ,フロント1,73.8,131,6165
さざんか-さつき,ベント,フロント1,72.0,126,5815
あしび-さざんか,コーライ,フロント1,72.8,128,5973
あしび-さざんか,ベント,フロント1,70.8,123,5600
さつき-あしび,コーライ,フロント1,72.6,127,5962
さつき-あしび,ベント,フロント1,70.8,123,5585
