Course,Green,Tee,CR,SR,Yards
筑波アウト-筑波イン,メイン/右ベント,バック,77.3,139,6747
筑波アウト-筑波イン,メイン/右ベント,レギュラー,75.1,134,6328
筑波アウト-筑波イン,メイン/右ベント,フロント1,73.6,130,6041
筑波アウト-筑波イン,メイン/右ベント,フロント2,70.1,120,5392
筑波アウト-筑波イン,メイン/右ベント,レディース1,68.8,117,5061
筑波アウト-筑波イン,サブ/左ベント,バック,77.1,139,6723
筑波アウト-筑波イン,サブ/左ベント,レギュラー,74.9,133,6304
筑波アウト-筑波イン,サブ/左ベント,フロント1,73.4,129,6017
筑波アウト-筑波イン,サブ/左ベント,フロント2,70.1,120,5368
筑波アウト-筑波イン,サブ/左ベント,レディース1,68.6,117,5037
霞アウト-霞イン,サブ/左ベント,バック,75.3,134,6376
霞アウト-霞イン,サブ/左ベント,レギュラー,73.1,129,5956
霞アウト-霞イン,サブ/左ベント,フロント1,71.9,126,5746
霞アウト-霞イン,サブ/左ベント,フロント2,69.7,120,5274
霞アウト-霞イン,サブ/左ベント,レディース1,68.0,115,4883
霞アウト-霞イン,メイン/右ベント,バック,75.3,134,6388
霞アウト-霞イン,メイン/右ベント,レギュラー,73.1,129,5968
霞アウト-霞イン,メイン/右ベント,フロント1,72.0,126,5758
霞アウト-霞イン,メイン/右ベント,フロント2,69.6,119,5286
霞アウト-霞イン,メイン/右ベント,レディース1,68.1,115,4895
