Course,Green,Tee,CR,SR,Yards
南-北,メイン,黒,78.0,141,7039
南-北,メイン,青,75.8,136,6624
南-北,メイン,白,74.5,132,6378
南-北,メイン,赤,70.3,121,5578
南-北,サブ,黒,77.5,140,6944
南-北,サブ,青,75.3,134,6531
南-北,サブ,白,73.9,131,6263
南-北,サブ,赤,69.9,120,5487
中-南,メイン,黒,77.7,141,6962
中-南,メイン,青,75.7,135,6587
中-南,メイン,白,74.4,132,6337
中-南,メイン,赤,70.8,123,5638
中-南,サブ,黒,77.1,139,6849
中-南,サブ,青,75.2,134,6474
中-南,サブ,白,73.8,131,6224
中-南,サブ,赤,70.2,121,5525
北-中,メイン,黒,76.5,137,6741
北-中,メイン,青,74.9,133,6453
北-中,メイン,白,74.0,131,6279
北-中,メイン,赤,70.2,121,5548
北-中,サブ,黒,76.1,137,6675
北-中,サブ,青,74.6,133,6389
北-中,サブ,白,73.6,130,6193
北-中,サブ,赤,70.0,120,5486
