Course,Green,Tee,CR,SR,Yards
泉-緑ヶ丘,Aグリーン,バック,78.9,144,7006
泉-緑ヶ丘,Aグリーン,レギュラー,77.1,139,6670
泉-緑ヶ丘,Aグリーン,フロント,75.8,136,6386
泉-緑ヶ丘,Aグリーン,レディースB,73.7,130,5986
泉-緑ヶ丘,Aグリーン,ゴールド,72.9,128,5844
泉-緑ヶ丘,Aグリーン,レディースR,71.2,123,5515
泉-緑ヶ丘,Aグリーン,レディースG,68.3,116,4959
緑ヶ丘-野坂山,Aグリーン,バック,77.8,141,6748
緑ヶ丘-野坂山,Aグリーン,レギュラー,76.2,137,6441
緑ヶ丘-野坂山,Aグリーン,フロント,74.8,133,6164
緑ヶ丘-野坂山,Aグリーン,レディースB,73.8,131,5953
緑ヶ丘-野坂山,Aグリーン,ゴールド,71.9,126,5621
緑ヶ丘-野坂山,Aグリーン,レディースR,71.1,123,5456
野坂山-泉,Aグリーン,バック,77.5,140,6696
野坂山-泉,Aグリーン,レギュラー,75.7,135,6357
野坂山-泉,Aグリーン,フロント,74.2,131,6076
野坂山-泉,Aグリーン,レディースB,73.9,131,5999
野坂山-泉,Aグリーン,ゴールド,72.4,127,5735
野坂山-泉,Aグリーン,レディースR,71.5,124,5537
