Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,バック,73.3,132,6917
アウト-イン,ベント,レギュラー,71.2,127,6459
アウト-イン,ベント,シルバー,69.6,123,6101
アウト-イン,ベント,フロント,67.1,117,5569
