Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント|左・ベント,チャンピオン,79.6,141,6880
アウト-イン,ベント|左・ベント,バック,77.3,136,6468
アウト-イン,ベント|左・ベント,レギュラー,74.8,131,6028
アウト-イン,ベント|左・ベント,ゴールド,72.0,125,5507
アウト-イン,ベント|左・ベント,レディース,69.2,119,5009
アウト-イン,ベント|右・ベント,チャンピオン,79.5,140,6865
アウト-イン,ベント|右・ベント,バック,77.2,135,6453
アウト-イン,ベント|右・ベント,レギュラー,74.7,130,6013
アウト-イン,ベント|右・ベント,ゴールド,71.8,124,5492
アウト-イン,ベント|右・ベント,レディース,69.1,118,5004
