Course,Green,Tee,CR,SR,Yards
シンバ-レオ,ベント,バック,74.3,126,7011
シンバ-レオ,ベント,レギュラー,72.4,124,6601
シンバ-レオ,ベント,フロント,69.8,120,6114
シンバ-レオ,ベント,ゴールド,68.8,117,5910
シンバ-レオ,ベント,レディス,66.3,115,5360
シンバ-レオ,キング,バック,73.4,127,6913
シンバ-レオ,キング,レギュラー,71.3,128,6497
シンバ-レオ,キング,フロント,68.9,120,6006
シンバ-レオ,キング,ゴールド,67.9,117,5806
シンバ-レオ,キング,レディス,65.5,114,5250
エルザ-シンバ,ベント,バック,73.0,128,6852
エルザ-シンバ,ベント,レギュラー,71.3,125,6470
エルザ-シンバ,ベント,フロント,68.9,119,6019
エルザ-シンバ,ベント,ゴールド,68.1,117,5855
エルザ-シンバ,ベント,レディス,65.4,114,5257
エルザ-シンバ,キング,バック,72.5,128,6756
エルザ-シンバ,キング,レギュラー,70.5,127,6380
エルザ-シンバ,キング,フロント,68.3,121,5930
エルザ-シンバ,キング,ゴールド,67.5,120,5769
エルザ-シンバ,キング,レディス,64.7,114,5163
レオ-エルザ,ベント,バック,72.9,126,6713
レオ-エルザ,ベント,レギュラー,71.3,123,6313
レオ-エルザ,ベント,フロント,68.5,120,5811
レオ-エルザ,ベント,ゴールド,67.7,118,5671
レオ-エルザ,ベント,レディス,65.9,116,5249
レオ-エルザ,キング,バック,72.7,127,6703
レオ-エルザ,キング,レギュラー,70.8,125,6309
レオ-エルザ,キング,フロント,68.2,119,5802
レオ-エルザ,キング,ゴールド,67.6,119,5667
レオ-エルザ,キング,レディス,65.6,114,5235
