Course,Green,Tee,CR,SR,Yards
西-南,Lグリーン,バック,77.8,133,6581
西-南,Lグリーン,レギュラー,75.5,130,6195
西-南,Lグリーン,フロント,72.4,125,5682
西-南,Lグリーン,レディース,69.1,118,5080
西-南,Rグリーン,バック,77.6,133,6571
西-南,Rグリーン,レギュラー,75.4,129,6185
西-南,Rグリーン,フロント,72.4,124,5672
西-南,Rグリーン,レディース,68.8,118,5070
南-東,Lグリーン,バック,77.0,132,6551
南-東,Lグリーン,レギュラー,74.4,128,6099
南-東,Lグリーン,フロント,71.4,123,5592
南-東,Lグリーン,レディース,67.5,115,4902
南-東,Rグリーン,バック,77.0,132,6558
南-東,Rグリーン,レギュラー,74.4,128,6106
南-東,Rグリーン,フロント,71.4,123,5599
南-東,Rグリーン,レディース,67.5,115,4909
東-西,Lグリーン,バック,76.8,133,6456
東-西,Lグリーン,レギュラー,74.7,130,6086
東-西,Lグリーン,フロント,71.4,125,5550
東-西,Lグリーン,レディース,68.0,118,4936
東-西,Rグリーン,バック,76.8,134,6487
東-西,Rグリーン,レギュラー,74.8,130,6117
東-西,Rグリーン,フロント,71.6,125,5581
東-西,Rグリーン,レディース,68.1,118,4967
