Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,チャンピオン,73.4,135,7103
アウト-イン,ベント,バッグ,71.2,129,6657
アウト-イン,ベント,レギュラー,69.6,124,6268
アウト-イン,ベント,レディース,66.9,116,5534
