Course,Green,Tee,CR,SR,Yards
OUT(A)-IN(AB),A(ベント)|AB(ベント),ブルー(バック),72.5,130,6678
OUT(A)-IN(AB),A(ベント)|AB(ベント),ホワイト(レギュラー),70.0,129,6157
OUT(A)-IN(AB),A(ベント)|AB(ベント),グリーン(フロント),67.3,120,5643
OUT(A)-IN(AB),A(ベント)|AB(ベント),レッド(レディース),64.0,110,4949
OUT(B)-IN(AB),B(ベント)|AB(ベント),ブルー(バック),72.1,130,6629
OUT(B)-IN(AB),B(ベント)|AB(ベント),ホワイト(レギュラー),69.7,129,6108
OUT(B)-IN(AB),B(ベント)|AB(ベント),グリーン(フロント),67.3,119,5594
OUT(B)-IN(AB),B(ベント)|AB(ベント),レッド(レディース),63.9,110,4900
