,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,5,4,3N,4D,4,4,36
1,BLACK,346,595,202,518,419,132,456,408,325,3401
2,BLUE,346,564,182,499,390,132,426,388,325,3252
3,WHITE,331,521,154,499,369,120,400,372,317,3083
4,GOLD,322,449,154,350,355,110,324,309,306,2679
5,Green,322,449,154,478,355,110,373,362,306,2909
6,Red,322,449,154,350,207,110,324,309,306,2531
7,Hdcp,5,2,9,1,4,7,3,6,8,­
