,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,4D,5,3,4,36
1,Blue,539,372,183,355,399,427,487,178,437,3377
2,Orange,527,372,183,337,386,408,487,174,431,3305
3,White,515,339,169,328,366,385,472,164,416,3154
4,Red,494,300,159,290,349,355,415,134,370,2866
5,Hdcp,5,2,8,7,4,1,6,9,3,­
