,朝霞　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,5,4,4,3,4,36
1,Back,362,388,510,141,585,417,383,200,457,3443
2,Reg.,352,378,493,133,555,407,359,187,436,3300
3,Front,342,361,451,122,529,399,344,160,410,3118
4,Hdcp,13,3,9,17,7,1,5,15,11,­
