,東,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4D,3N,4.0,4.0,4.0,3N,5D,36
1,BLUE,518.0,380.0,411,192,309.0,394.0,350.0,185,465,3204
2,GREEN,497.0,363.0,398,165,284.0,370.0,343.0,166,430,3016
3,WHITE,486.0,363.0,363,147,284.0,351.0,328.0,146,390,2858
4,Ladies,392.0,261.0,265,118,261.0,310.0,328.0,135,290,2360
5,Hdcp,,,,,,,,,,­
