,南,1,2,3,4,5,6,7,8,9,計
0,Par,4D,3N,4.0,5.0,4.0,4.0,4D,5.0,3N,36
1,BLUE,412,167,353.0,620.0,350.0,392.0,413,508.0,188,3403
2,GREEN,392,154,346.0,600.0,336.0,378.0,392,469.0,167,3234
3,WHITE,355,143,335.0,576.0,312.0,348.0,367,446.0,150,3032
4,Ladies,294,129,300.0,370.0,285.0,300.0,342,417.0,90,2527
5,Hdcp,,,,,,,,,,­
