,知々夫　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,5,4,3,4,36
1,Back,417,365,194,564,373,508,456,154,442,3473
2,Reg.,397,355,176,547,355,494,445,146,431,3346
3,Front,386,335,165,517,343,482,435,137,403,3203
4,Hdcp,6,10,14,2,8,18,4,16,12,­
