,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,5D,3N,4,4,4,4,36
1,Back,516,125,413,530,172,357,369,435,295,3212
2,Reg.,490,104,388,504,147,336,349,406,271,2995
3,Champion,538,147,442,553,195,376,386,461,319,3417
4,Ladies,449,104,355,458,117,295,311,376,243,2708
5,Hdcp,10,16,4,2,14,8,12,6,18,­
