,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,4,5,3N,4,36
1,Blue,370,399,182,569,361,399,591,173,448,3492
2,Orange,358,372,182,554,340,387,578,162,429,3362
3,White,340,348,169,540,325,366,563,140,410,3201
4,Red,290,330,154,461,289,352,533,140,356,2905
5,Hdcp,5,2,8,1,7,4,3,9,6,­
