,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,5D,3N,4,4,4,5,36
1,Back,451,148,355,541,155,404,354,381,510,3299
2,REGULAR,385,136,325,534,140,389,341,366,472,3088
3,Hdcp,4,18,10,8,16,2,12,14,6,­
