,東から西,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,5D,4,4,4,3,4,36
1,BACK,507,189,381,565,372,378,361,210,374,3337
2,Regular,477,171,353,540,347,356,336,186,346,3112
3,Ladies,390,141,293,471,284,289,280,128,287,2563
4,Champion,507,241,381,565,372,378,361,210,401,3416
5,Front,446,151,326,515,324,330,312,159,319,2882
6,Hdcp,3,9,4,1,6,2,5,7,8,­
