,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3,4,5,4,3N,4,36
1,Blue(右),412,508,428,169,365,513,396,193,363,3347
2,White(右),379,484,394,162,358,479,387,184,330,3157
3,Red(右),346,455,246,160,318,415,328,139,308,2715
4,Blue(左),382,536,423,170,379,504,378,147,285,3204
5,Red(左),317,484,242,143,331,406,310,110,230,2573
6,White(左),350,513,390,157,372,471,369,135,252,3009
7,Hdcp,9,5,1,13,17,7,3,15,11,­
