,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5D,3,4,4,3N,4,5,36
1,Back,357,393,499,194,318,305,188,394,533,3181
2,Reg.,337,376,469,176,301,295,166,369,513,3002
3,Gold,324,376,440,163,301,295,154,338,496,2887
4,Ladies,258,302,378,146,265,275,134,209,409,2376
5,Hdcp,6,14,2,10,18,12,16,8,4,­
