,せきれい,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,4,3N,5D,5D,4,36
1,バック,350,490,125,340,335,145,520,405,300,3010
2,レギュラー,330,480,115,325,320,130,505,400,290,2895
3,Hdcp,2,4,8,3,5,7,1,9,6,­
