,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4D,3N,4,5,4,3,4,4,36
1,Black,503,470,142,361,536,394,235,344,416,3401
2,White,488,446,131,337,512,367,211,328,399,3219
3,Red,394,346,120,337,332,255,112,293,313,2502
4,Hdcp,9,3,15,13,1,7,17,11,6,­
