,岩殿　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,3,4,5,4,36
1,Back T.,353,498,194,414,371,160,301,492,348,3131
2,Reg.,338,484,177,395,357,146,280,465,330,2972
3,Ladies,251,399,159,316,341,119,274,362,303,2524
4,Hdcp,9,3,15,1,7,13,17,11,5,­
