,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,3,5,3N,4,5,36
1,Blue,354,333,148,480,177,479,131,317,518,2937
2,White,336,319,129,446,159,445,112,289,500,2735
3,Red,290,279,107,408,107,413,77,256,462,2399
4,Black,372,355,170,503,197,509,148,339,541,3134
5,Hdcp,2,8,5,4,7,1,6,9,3,­
