,なの花（7ホール）,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3N,4.0,4.0,5.0,5D,0.0,0.0,30
1,BLUE,467.0,359.0,159,302.0,333.0,474.0,463,0.0,0.0,2557
2,WHITE,450.0,347.0,145,282.0,323.0,456.0,442,0.0,0.0,2445
3,RED,383.0,336.0,111,256.0,307.0,432.0,365,0.0,0.0,2190
4,Hdcp,,,,,,,,,,­
