,東,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3N,4.0,4.0,4.0,3.0,5D,4.0,36
1,BACK,323.0,544.0,125,462.0,392.0,330.0,209.0,513,325.0,3223
2,Front,313.0,479.0,111,420.0,362.0,311.0,191.0,502,313.0,3002
3,Hdcp,,,,,,,,,,­
